,date,ZAR_USD,ZAR_EUR
76,2025-03-18,18.8717,19.8476
77,2025-03-19,17.3831,18.8782
78,2025-03-20,18.4587,19.4652
79,2025-03-21,18.7555,20.466
80,2025-03-22,18.8482,19.6216
81,2026-01-01,18.4119,19.6243
82,2025-03-24,18.5446,19.5102
83,2025-03-25,19.4974,20.8205
84,2025-03-26,18.3344,19.169
85,2025-03-27,19.1684,20.5652
86,2025-03-28,18.7826,20.1811
87,2025-03-29,18.1313,18.6415
88,2025-03-30,17.4031,20.8374
89,2025-03-31,17.4568,20.047
90,2025-04-01,17.3337,20.4473
91,2025-04-02,17.6405,19.4813
92,2025-04-03,17.8512,18.0125
93,2025-04-04,18.2779,20.2788
94,2025-04-05,17.4652,18.1486
95,2025-04-06,19.1229,20.5891
96,2025-04-07,18.4788,20.491
97,2025-04-08,19.2275,19.5691
98,2026-01-01,17.9347,20.3473
99,2025-04-10,18.7548,19.2949
100,2026-01-01,18.3527,18.5838
101,2025-04-12,19.2978,18.0112
102,2025-04-13,17.4396,19.2834
103,2025-04-14,18.4904,18.6502
104,2025-04-15,18.6498,20.895
105,2025-04-16,18.4479,19.1246
106,2025-04-17,18.2505,19.4468
107,2025-04-18,18.1507,19.76
108,2025-04-19,17.539,19.9368
109,2025-04-20,19.2707,20.946
110,2025-04-21,18.3859,20.4399
111,2025-04-22,19.0641,19.0888
112,2025-04-23,18.1031,19.673
113,2025-04-24,18.4395,18.0146
114,2025-04-25,18.0595,19.294
115,2025-04-26,18.9803,19.591
116,2025-04-27,17.2625,20.8379
117,2025-04-28,17.9625,18.7691
118,2025-04-29,17.2211,20.0083
119,2025-04-30,18.4332,20.8781
120,2025-05-01,18.5246,19.9438
121,2025-05-02,18.3329,18.1545
122,2025-05-03,17.5779,20.1159
123,2025-05-04,19.3629,19.3365
124,2025-05-05,19.1637,19.718
125,2025-05-06,17.9972,18.71
126,2025-05-07,19.3974,20.3449
127,2025-05-08,17.4929,20.1763
128,2025-05-09,17.1487,19.9765
129,2026-01-01,18.4054,18.5249
130,2025-05-11,19.0589,19.6563
131,2025-05-12,17.8032,18.1499
132,2025-05-13,18.701,18.1881
133,2025-05-14,18.0699,18.3544
134,2025-05-15,18.2539,19.7803
135,2025-05-16,17.7018,20.5092
136,2025-05-17,19.2192,20.8813
137,2025-05-18,17.6502,18.5547
138,2025-05-19,18.0795,18.4429
139,2025-05-20,17.4505,18.2419
140,2025-05-21,17.4323,19.809
141,2025-05-22,19.4363,20.0819
142,2025-05-23,17.0502,18.2833
143,2025-05-24,19.1891,18.5461
144,2025-05-25,18.3174,18.8111
145,2025-05-26,18.4724,18.4543
146,2025-05-27,19.4196,19.8749
147,2025-05-28,18.8663,20.0776
148,2025-05-29,17.0839,20.9636
149,2025-05-30,18.8067,20.602
150,2025-05-31,17.1694,19.3043
151,2025-06-01,17.678,19.367
152,2025-06-02,18.4247,20.3836
153,2025-06-03,17.3657,19.8061
154,2025-06-04,17.4678,20.7394
155,2025-06-05,18.6989,20.2068
156,2025-06-06,18.6168,18.7493
157,2025-06-07,19.2118,20.6308
158,2025-06-08,18.4158,20.8035
159,2025-06-09,18.9029,19.3901
160,2025-06-10,18.6576,19.103
161,2025-06-11,17.9915,19.9478
162,2025-06-12,17.5332,19.1056
163,2025-06-13,18.1396,18.7462
164,2025-06-14,18.2863,20.8004
165,2025-06-15,19.2764,20.637
166,2025-06-16,18.3971,18.33
167,2025-06-17,17.8595,20.3105
168,2025-06-18,19.1046,19.5399
169,2025-06-19,19.109,18.954
170,2025-06-20,18.2293,18.0548
171,2025-06-21,18.0163,20.9794
172,2025-06-22,19.2667,19.7266
173,2025-06-23,17.2863,20.2647
174,2025-06-24,18.2077,18.3874
175,2025-06-25,18.5985,18.3346
176,2025-06-26,18.529,19.2279
177,2025-06-27,17.4916,18.1459
178,2025-06-28,17.6248,18.1668
179,2025-06-29,17.1285,18.5008
180,2025-06-30,18.2493,18.7069
181,2025-07-01,19.2238,18.0253
182,2025-07-02,19.4053,20.66
183,2025-07-03,17.6435,20.7736
184,2025-07-04,19.0391,19.594
185,2025-07-05,18.653,18.4719
186,2025-07-06,18.3218,20.411
187,2025-07-07,17.8825,20.8355
188,2025-07-08,17.1441,20.8457
189,2026-01-01,17.7578,18.0203
190,2025-07-10,19.1255,20.879
191,2025-07-11,17.1977,19.354
192,2025-07-12,18.3399,18.0751
193,2025-07-13,17.1111,20.9149
194,2025-07-14,19.3739,20.3263
195,2025-07-15,17.5253,20.7007
196,2025-07-16,17.7007,19.2609
197,2025-07-17,18.0632,18.646
198,2025-07-18,18.7882,19.0743
199,2025-07-19,19.3909,18.4737
200,2026-01-01,18.3606,19.3176
201,2025-07-21,17.1701,19.2754
202,2025-07-22,18.4275,18.0823
203,2025-07-23,19.3995,18.1141
204,2025-07-24,19.4067,20.7813
205,2025-07-25,17.9589,19.1393
206,2025-07-26,17.0969,19.9498
207,2025-07-27,18.5325,18.8089
208,2025-07-28,18.2449,19.6193
209,2025-07-29,17.4531,18.7838
210,2025-07-30,17.0093,20.8543
211,2025-07-31,17.8617,20.7958
212,2025-08-01,17.4999,19.9557
213,2025-08-02,19.2205,18.3457
214,2025-08-03,19.0359,20.878
215,2025-08-04,19.0963,19.9874
216,2025-08-05,18.8803,20.1536
217,2025-08-06,17.2089,20.0495
218,2025-08-07,17.7225,20.8593
219,2025-08-08,19.1608,18.6138
220,2025-08-09,17.7158,20.0071
221,2025-08-10,17.0515,20.0311
222,2026-01-01,18.835,19.374
223,2025-08-12,18.5597,18.1388
224,2025-08-13,18.4206,20.3683
225,2025-08-14,18.6111,19.4529
226,2025-08-15,17.4564,19.2418
227,2025-08-16,17.1008,19.407
228,2025-08-17,18.4749,19.1409
229,2025-08-18,18.6487,19.9307
230,2025-08-19,17.0667,20.5516
231,2025-08-20,19.2624,20.3107
232,2025-08-21,17.9163,18.2451
233,2025-08-22,18.5635,19.3478
234,2025-08-23,18.9713,18.5481
235,2025-08-24,17.6208,18.9266
236,2025-08-25,17.9956,18.9914
237,2026-01-01,19.168,20.8786
238,2025-08-27,17.9803,19.7918
239,2025-08-28,17.8082,19.9069
240,2025-08-29,18.4163,19.8911
241,2025-08-30,17.9516,18.918
242,2026-01-01,18.0402,18.7864
243,2025-09-01,17.2333,20.4459
244,2025-09-02,17.3163,20.3357
245,2025-09-03,17.5947,18.5645
246,2025-09-04,17.8856,20.496
247,2025-09-05,17.7806,19.9185
248,2025-09-06,18.4982,20.1723
249,2025-09-07,17.2543,20.3333
250,2025-09-08,17.0851,18.9244
251,2025-09-09,18.411,18.8385
252,2025-09-10,17.1,18.2286
253,2025-09-11,19.1846,20.2763
254,2025-09-12,19.1976,18.5648
255,2025-09-13,18.0296,20.1243
256,2025-09-14,19.0154,19.2424
257,2025-09-15,17.0939,19.0099
258,2025-09-16,18.9096,18.6735
259,2025-09-17,18.2232,20.5203
260,2025-09-18,18.7996,20.2159
261,2025-09-19,19.085,18.3361
262,2025-09-20,17.4826,18.8006
263,2025-09-21,18.5713,18.9149
264,2025-09-22,19.292,19.9027
265,2025-09-23,17.4656,19.6083
266,2025-09-24,19.4234,18.4158
267,2025-09-25,17.3528,19.2263
268,2025-09-26,19.0261,19.3495
269,2025-09-27,18.4676,19.4955
270,2025-09-28,18.8917,18.5545
271,2025-09-29,19.0746,20.3911
272,2025-09-30,17.9618,18.6744
273,2025-10-01,17.057,19.7568
274,2025-10-02,18.1175,19.7281
275,2025-10-03,19.0963,19.99
276,2025-10-04,17.9417,19.9266
277,2025-10-05,18.5002,20.9588
278,2025-10-06,17.008,20.7881
279,2025-10-07,17.6328,18.2683
280,2025-10-08,18.3722,20.6825
281,2025-10-09,18.869,20.6763
282,2025-10-10,17.9015,18.2857
283,2025-10-11,19.2866,19.3006
284,2025-10-12,18.9475,20.7377
285,2025-10-13,17.7711,19.0639
286,2025-10-14,17.9964,19.5164
287,2025-10-15,18.671,19.9201
288,2025-10-16,18.3608,20.8804
289,2025-10-17,19.3972,20.7105
290,2025-10-18,18.4222,18.9009
291,2025-10-19,17.0164,19.524
292,2025-10-20,19.4107,18.3223
293,2025-10-21,17.6949,20.2467
294,2025-10-22,17.0501,19.8594
295,2025-10-23,17.6621,20.2067
296,2025-10-24,18.8174,18.6309
297,2025-10-25,18.8783,19.9122
298,2025-10-26,17.0774,18.1285
299,2025-10-27,17.7791,18.3563
300,2025-10-28,18.6494,19.4839
301,2025-10-29,19.4976,19.2193
302,2025-10-30,17.0978,18.097
303,2025-10-31,18.8504,18.3276
304,2025-11-01,18.4687,19.6772
305,2025-11-02,17.8932,18.0947
306,2025-11-03,18.0265,19.82
307,2025-11-04,17.5548,19.8487
308,2025-11-05,17.0357,19.1435
309,2025-11-06,18.081,19.6111
310,2025-11-07,19.1372,18.8966
311,2026-01-01,18.6848,18.5935
312,2025-11-09,19.4979,20.0273
313,2025-11-10,17.8921,19.4405
314,2025-11-11,17.7422,19.6474
315,2025-11-12,18.2184,20.5631
316,2025-11-13,19.2417,20.1259
317,2026-01-01,17.4863,19.5259
318,2025-11-15,17.0006,20.7835
319,2025-11-16,17.0676,20.2692
320,2025-11-17,18.485,20.4331
321,2025-11-18,17.3524,18.4674
322,2025-11-19,17.4231,20.2608
323,2025-11-20,17.223,20.8097
324,2025-11-21,17.5957,19.7377
325,2025-11-22,18.9025,18.2155
326,2025-11-23,18.2249,19.3328
327,2025-11-24,17.8619,20.9656
328,2025-11-25,19.448,20.7217
329,2025-11-26,19.2282,19.2465
330,2025-11-27,18.7007,20.8793
331,2025-11-28,19.1781,18.7868
332,2025-11-29,18.9679,18.5086
333,2025-11-30,18.1746,20.2383
334,2025-12-01,18.0634,18.8279
335,2025-12-02,17.021,20.749
336,2025-12-03,18.0828,19.4372
337,2025-12-04,19.4565,20.8941
338,2025-12-05,17.764,18.06
339,2025-12-06,17.1497,20.6353
340,2025-12-07,17.4194,20.4254
341,2025-12-08,18.6788,19.0464
342,2025-12-09,18.292,20.6288
343,2025-12-10,18.6361,20.4727
344,2026-01-01,17.5022,20.4767
345,2025-12-12,19.4822,18.9413
346,2025-12-13,17.9142,19.214
347,2025-12-14,17.1155,20.6712
348,2025-12-15,17.4433,18.5281
349,2025-12-16,18.3738,18.8545
350,2025-12-17,18.418,20.4949
351,2025-12-18,18.4562,18.4027
352,2025-12-19,19.0112,18.4538
353,2026-01-01,18.444,19.7017
354,2025-12-21,18.4712,18.4421
355,2025-12-22,17.2305,20.9809
356,2025-12-23,17.5325,19.2632
357,2025-12-24,19.007,20.9369
358,2025-12-25,19.4772,20.6514
359,2025-12-26,18.4014,19.0892
360,2025-12-27,17.1264,18.5809
361,2025-12-28,18.5644,20.1678
362,2025-12-29,19.4787,20.2603
363,2025-12-30,18.5254,18.8152
364,2025-12-31,17.6036,20.1456
365,2026-01-01,17.2258,18.1904
366,2026-01-02,18.0164,20.1722
367,2026-01-03,19.4895,20.04
368,2026-01-04,18.1352,18.9728
369,2026-01-05,18.5128,19.5039
370,2026-01-06,17.8192,19.5384
371,2026-01-07,19.2703,19.1704
372,2026-01-08,18.1964,20.7534
373,2026-01-09,18.8181,20.0768
374,2026-01-10,18.0113,18.9131
375,2026-01-11,18.2907,20.1782
376,2026-01-12,18.1111,19.074
377,2026-01-13,17.3706,19.2467
378,2026-01-14,17.1597,20.5498
379,2026-01-15,18.5724,20.7743
380,2026-01-16,18.7061,18.3545
381,2026-01-17,17.6883,19.7544
382,2026-01-18,17.1654,20.3677
383,2026-01-01,19.4964,18.154
384,2026-01-20,19.1137,18.7735
385,2026-01-21,19.1188,18.2418
386,2026-01-22,19.0542,20.9289
387,2026-01-23,18.2255,18.3554
388,2026-01-24,19.3794,19.1067
389,2026-01-25,17.6521,20.6728
390,2026-01-26,18.5069,19.0632
391,2026-01-27,18.214,20.7346
392,2026-01-28,18.6473,19.9374
393,2026-01-29,17.849,19.6795
394,2026-01-30,18.7363,19.7775
395,2026-01-31,17.2536,19.4169
396,2026-02-01,17.1729,20.9092
397,2026-02-02,17.4037,20.1045
398,2026-02-03,18.0537,20.5249
399,2026-02-04,19.4651,20.147
400,2026-02-05,17.52,20.6455
401,2026-02-06,18.5353,20.4434
402,2026-01-01,19.335,19.4339
403,2026-02-08,17.0902,20.0873
404,2026-02-09,18.0565,18.7863
405,2026-02-10,17.8884,19.7294
406,2026-02-11,17.6749,20.703
407,2026-02-12,17.1573,20.7693
408,2026-02-13,19.469,19.279
409,2026-02-14,19.2104,18.719
410,2026-02-15,19.4814,19.7084
411,2026-02-16,18.2147,20.6209
412,2026-02-17,19.2881,19.2088
413,2026-02-18,18.6955,19.9277
414,2026-02-19,17.6408,18.9231
415,2026-02-20,17.0044,19.448
416,2026-02-21,17.6908,18.8315
417,2026-02-22,17.9332,20.1997
418,2026-02-23,17.9486,18.2344
419,2026-02-24,19.2463,19.6547
420,2026-02-25,18.5465,19.231
421,2026-01-01,17.5617,19.9212
422,2026-02-27,18.8877,20.0915
423,2026-02-28,18.5223,19.3627
424,2026-01-01,18.3129,18.0897
425,2026-03-02,17.7087,19.5765
426,2026-03-03,19.4677,19.0094
427,2026-03-04,18.4463,19.5759
428,2026-03-05,19.1793,20.482
429,2026-03-06,17.3528,20.412
430,2026-03-07,18.2909,19.5586
431,2026-03-08,19.3093,20.4525
432,2026-03-09,18.2632,18.4352
433,2026-03-10,17.6935,20.048
434,2026-03-11,18.5696,18.8587
435,2026-01-01,18.6501,19.3074
436,2026-03-13,17.7749,20.5539
437,2026-03-14,19.3671,20.5397
438,2026-03-15,18.9023,20.6638
439,2026-03-16,18.6141,19.6823
440,2026-03-17,18.4907,19.8923
441,2026-03-18,18.2662,20.6918
442,2026-03-19,18.7182,19.6797
443,2026-03-20,17.8771,20.1388
444,2026-03-21,17.0721,20.0421
445,2026-03-22,18.8625,19.0133
446,2026-03-23,17.6909,20.7177
447,2026-03-24,17.4193,20.8531
448,2026-03-25,18.9929,18.2111
449,2026-03-26,17.1541,19.8878
450,2026-03-27,17.6797,19.426
451,2026-03-28,17.6056,20.0937
452,2026-03-29,17.0286,19.5763
453,2026-03-30,17.4923,18.7807
454,2026-03-31,18.9593,19.7206
455,2026-04-01,19.175,20.5237
456,2026-04-02,17.0438,19.1487
457,2026-04-03,19.2658,18.9725
458,2026-04-04,17.981,19.0748
459,2026-04-05,18.8829,19.8985
460,2026-04-06,17.052,19.3859
461,2026-04-07,17.5002,20.6392
462,2026-04-08,17.6301,20.0539
463,2026-04-09,19.2724,20.043
464,2026-04-10,19.2124,18.7452
465,2026-04-11,17.0202,19.8725
466,2026-04-12,18.5481,19.6564
467,2026-04-13,19.3069,19.7831
468,2026-04-14,18.4558,19.9014
469,2026-04-15,19.4114,18.0229
470,2026-04-16,18.3214,18.6643
471,2026-04-17,17.6808,20.2693
472,2026-01-01,18.2678,18.679
473,2026-04-19,18.3869,20.6882
474,2026-04-20,19.4429,18.3595
475,2026-04-21,18.9084,18.6329
476,2026-04-22,18.569,19.7632
477,2026-04-23,17.9631,19.5291
478,2026-04-24,18.9982,20.8167
479,2026-04-25,17.8012,20.2208
480,2026-04-26,18.9709,20.9337
481,2026-04-27,18.5848,20.9173
482,2026-04-28,18.3937,18.4339
483,2026-04-29,19.2569,19.8409
484,2026-04-30,17.5711,18.8888
485,2026-05-01,17.9957,20.1865
486,2026-05-02,17.6047,18.5685
487,2026-05-03,19.2513,18.2951
488,2026-05-04,17.9317,20.6925
489,2026-05-05,18.1524,19.5492
490,2026-05-06,17.6639,18.0477
491,2026-05-07,17.7322,19.34
492,2026-05-08,18.4026,20.7183
493,2026-05-09,17.4831,18.2823
494,2026-05-10,19.3246,18.1625
495,2026-05-11,17.2555,20.4104
496,2026-05-12,17.4429,20.4726
497,2026-05-13,18.6125,20.5044
498,2026-05-14,18.3513,19.683
499,2026-05-15,18.0193,20.8575
500,2026-05-16,18.8248,19.0708
501,2026-05-17,17.0981,20.0189
502,2026-05-18,19.3262,18.0516
503,2026-05-19,19.3897,19.9933
504,2026-01-01,19.0565,18.3857
505,2026-05-21,17.389,20.6286
506,2026-05-22,18.9487,19.4038
507,2026-05-23,17.1109,18.351
508,2026-05-24,17.6767,20.6097
509,2026-05-25,17.1436,20.379
510,2026-05-26,18.6405,19.1419
511,2026-05-27,18.6679,19.6182
512,2026-05-28,18.6433,18.9829
513,2026-05-29,17.6743,18.5312
514,2026-05-30,18.3168,20.6135
515,2026-05-31,17.9325,18.7272
516,2026-01-01,17.6284,20.1401
517,2026-06-02,17.7691,20.4973
518,2026-06-03,17.7197,18.6805
519,2026-06-04,17.7022,20.5388
520,2026-06-05,17.2295,20.8556
521,2026-06-06,17.4297,18.8001
522,2026-06-07,17.5494,18.0289
523,2026-06-08,17.3914,20.7019
524,2026-06-09,19.3875,19.8652
525,2026-06-10,17.3536,20.4507
526,2026-06-11,18.4721,20.6048
527,2026-06-12,17.2183,18.0193
528,2026-06-13,19.2804,18.9546
529,2026-06-14,19.1255,19.4329
530,2026-06-15,17.5233,20.8738
531,2026-06-16,17.0968,19.284
532,2026-06-17,17.6812,18.7728
533,2026-06-18,18.5571,19.1465
534,2026-06-19,18.6348,19.2911
535,2026-06-20,18.9064,19.4387
536,2026-06-21,19.081,18.8794
537,2026-06-22,18.6599,20.1941
538,2026-06-23,18.6448,19.0819
539,2026-06-24,18.4245,19.6883
540,2026-06-25,18.7571,18.7136
541,2026-06-26,18.8707,19.5989
542,2026-06-27,19.3121,20.7639
543,2026-06-28,18.0717,19.88
544,2026-06-29,19.0756,19.2851
545,2026-01-01,17.2972,20.3132
546,2026-07-01,19.331,20.6628
547,2026-07-02,18.7335,18.1549
548,2026-07-03,19.0627,19.4941
549,2026-07-04,18.515,20.1239
550,2026-07-05,17.3428,19.7352
551,2026-07-06,19.2911,19.8043
552,2026-01-01,18.7696,18.4406
553,2026-07-08,17.3822,20.8303
554,2026-07-09,18.6681,18.4562
555,2026-07-10,18.3164,20.3768
556,2026-01-01,17.7496,19.7398
557,2026-07-12,17.7237,19.3107
558,2026-07-13,18.8688,18.3405
559,2026-07-14,18.649,20.6964
560,2026-07-15,18.5487,20.281
561,2026-07-16,17.5919,18.2521
562,2026-07-17,18.8325,20.6958
563,2026-07-18,18.8497,18.5063
564,2026-07-19,18.7469,20.0796
565,2026-07-20,17.7381,20.3899
566,2026-07-21,17.9776,18.5252
567,2026-07-22,19.4628,20.7405
568,2026-07-23,17.0133,20.5439
569,2026-07-24,18.3551,18.1907
570,2026-07-25,17.449,19.8774
571,2026-07-26,18.8066,18.4193
572,2026-07-27,18.8533,18.5548
573,2026-07-28,17.5889,18.7176
574,2026-07-29,18.1792,20.3421
575,2026-07-30,17.8557,18.8886
576,2026-01-01,18.953,19.3441
577,2026-08-01,18.4326,19.2865
