date,ZAR_USD,ZAR_EUR
2025-03-15,18.9493,18.4385
2025-03-16,17.6739,18.3246
2025-03-17,19.4994,19.5602
2025-03-18,18.8717,19.8476
2025-03-19,17.3831,18.8782
2025-03-20,18.4587,19.4652
2025-03-21,18.7555,20.466
2025-03-22,18.8482,19.6216
1 Jan 2026,18.4119,19.6243
2025-03-24,18.5446,19.5102
2025-03-25,19.4974,20.8205
2025-03-26,18.3344,19.169
2025-03-27,19.1684,20.5652
2025-03-28,18.7826,20.1811
2025-03-29,18.1313,18.6415
2025-03-30,17.4031,20.8374
2025-03-31,17.4568,20.047
2025-04-01,17.3337,20.4473
2025-04-02,17.6405,19.4813
2025-04-03,17.8512,18.0125
2025-04-04,18.2779,20.2788
2025-04-05,17.4652,18.1486
2025-04-06,19.1229,20.5891
2025-04-07,18.4788,20.491
2025-04-08,19.2275,19.5691
1 Jan 2026,17.9347,20.3473
2025-04-10,18.7548,19.2949
2026/01/01,18.3527,18.5838
2025-04-12,19.2978,18.0112
2025-04-13,17.4396,19.2834
2025-04-14,18.4904,18.6502
2025-04-15,18.6498,20.895
2025-04-16,18.4479,19.1246
2025-04-17,18.2505,19.4468
2025-04-18,18.1507,19.76
2025-04-19,17.539,19.9368
2025-04-20,19.2707,20.946
2025-04-21,18.3859,20.4399
2025-04-22,19.0641,19.0888
2025-04-23,18.1031,19.673
2025-04-24,18.4395,18.0146
2025-04-25,18.0595,19.294
2025-04-26,18.9803,19.591
2025-04-27,17.2625,20.8379
2025-04-28,17.9625,18.7691
2025-04-29,17.2211,20.0083
2025-04-30,18.4332,20.8781
2025-05-01,18.5246,19.9438
2025-05-02,18.3329,18.1545
2025-05-03,17.5779,20.1159
2025-05-04,19.3629,19.3365
2025/05/05,19.1637,19.718
2025-05-06,17.9972,18.71
2025-05-07,19.3974,20.3449
2025-05-08,17.4929,20.1763
2025-05-09,17.1487,19.9765
1 Jan 2026,18.4054,18.5249
2025-05-11,19.0589,19.6563
2025-05-12,17.8032,18.1499
2025-05-13,18.701,18.1881
2025-05-14,18.0699,18.3544
2025-05-15,18.2539,19.7803
2025-05-16,17.7018,20.5092
2025-05-17,19.2192,20.8813
2025-05-18,17.6502,18.5547
2025-05-19,18.0795,18.4429
2025-05-20,17.4505,18.2419
2025-05-21,17.4323,19.809
22-05-2025,19.4363,20.0819
2025-05-23,17.0502,18.2833
2025-05-24,19.1891,18.5461
2025-05-25,18.3174,18.8111
2025-05-26,18.4724,18.4543
2025-05-27,19.4196,19.8749
2025-05-28,18.8663,20.0776
2025-05-29,17.0839,20.9636
2025-05-30,18.8067,20.602
2025-05-31,17.1694,19.3043
2025-06-01,17.678,19.367
2025/06/02,18.4247,20.3836
2025-06-03,17.3657,19.8061
04-06-2025,17.4678,20.7394
2025-06-05,18.6989,20.2068
2025-06-06,18.6168,18.7493
2025-06-07,19.2118,20.6308
2025-06-08,18.4158,20.8035
2025-06-09,18.9029,19.3901
2025-06-10,18.6576,19.103
2025-06-11,17.9915,19.9478
2025-06-12,17.5332,19.1056
2025-06-13,18.1396,18.7462
2025-06-14,18.2863,20.8004
2025-06-15,19.2764,20.637
2025-06-16,18.3971,18.33
2025-06-17,17.8595,20.3105
2025-06-18,19.1046,19.5399
2025-06-19,19.109,18.954
2025-06-20,18.2293,18.0548
2025-06-21,18.0163,20.9794
2025-06-22,19.2667,19.7266
23 Jun 2025,17.2863,20.2647
2025-06-24,18.2077,18.3874
2025-06-25,18.5985,18.3346
2025-06-26,18.529,19.2279
2025-06-27,17.4916,18.1459
2025-06-28,17.6248,18.1668
2025-06-29,17.1285,18.5008
2025-06-30,18.2493,18.7069
2025-07-01,19.2238,18.0253
2025-07-02,19.4053,20.66
2025-07-03,17.6435,20.7736
2025-07-04,19.0391,19.594
2025-07-05,18.653,18.4719
2025-07-06,18.3218,20.411
2025-07-07,17.8825,20.8355
2025-07-08,17.1441,20.8457
2026/01/01,17.7578,18.0203
2025-07-10,19.1255,20.879
2025-07-11,17.1977,19.354
2025-07-12,18.3399,18.0751
2025-07-13,17.1111,20.9149
2025-07-14,19.3739,20.3263
2025-07-15,17.5253,20.7007
2025-07-16,17.7007,19.2609
2025/07/17,18.0632,18.646
2025-07-18,18.7882,19.0743
2025-07-19,19.3909,18.4737
1 Jan 2026,18.3606,19.3176
2025-07-21,17.1701,19.2754
2025-07-22,18.4275,18.0823
2025-07-23,19.3995,18.1141
2025-07-24,19.4067,20.7813
2025-07-25,17.9589,19.1393
2025-07-26,17.0969,19.9498
2025-07-27,18.5325,18.8089
2025-07-28,18.2449,19.6193
2025-07-29,17.4531,18.7838
2025-07-30,17.0093,20.8543
2025-07-31,17.8617,20.7958
2025-08-01,17.4999,19.9557
2025-08-02,19.2205,18.3457
2025-08-03,19.0359,20.878
2025-08-04,19.0963,19.9874
2025-08-05,18.8803,20.1536
2025-08-06,17.2089,20.0495
2025-08-07,17.7225,20.8593
2025-08-08,19.1608,18.6138
2025-08-09,17.7158,20.0071
2025-08-10,17.0515,20.0311
01/01/2026,18.835,19.374
2025-08-12,18.5597,18.1388
2025-08-13,18.4206,20.3683
2025-08-14,18.6111,19.4529
2025-08-15,17.4564,19.2418
2025-08-16,17.1008,19.407
2025-08-17,18.4749,19.1409
2025-08-18,18.6487,19.9307
 2025-08-19 ,17.0667,20.5516
2025-08-20,19.2624,20.3107
2025-08-21,17.9163,18.2451
2025-08-22,18.5635,19.3478
2025-08-23,18.9713,18.5481
2025-08-24,17.6208,18.9266
2025-08-25,17.9956,18.9914
1 Jan 2026,19.168,20.8786
2025-08-27,17.9803,19.7918
2025-08-28,17.8082,19.9069
2025-08-29,18.4163,19.8911
2025-08-30,17.9516,18.918
2026/01/01,18.0402,18.7864
2025-09-01,17.2333,20.4459
2025-09-02,17.3163,20.3357
2025-09-03,17.5947,18.5645
2025-09-04,17.8856,20.496
2025-09-05,17.7806,19.9185
2025-09-06,18.4982,20.1723
2025-09-07,17.2543,20.3333
2025-09-08,17.0851,18.9244
2025-09-09,18.411,18.8385
2025-09-10,17.1,18.2286
11-09-2025,19.1846,20.2763
2025-09-12,19.1976,18.5648
2025-09-13,18.0296,20.1243
2025-09-14,19.0154,19.2424
2025-09-15,17.0939,19.0099
2025-09-16,18.9096,18.6735
2025-09-17,18.2232,20.5203
2025-09-18,18.7996,20.2159
2025-09-19,19.085,18.3361
2025-09-20,17.4826,18.8006
2025-09-21,18.5713,18.9149
2025-09-22,19.292,19.9027
2025-09-23,17.4656,19.6083
2025-09-24,19.4234,18.4158
2025-09-25,17.3528,19.2263
2025-09-26,19.0261,19.3495
2025-09-27,18.4676,19.4955
2025-09-28,18.8917,18.5545
2025-09-29,19.0746,20.3911
2025-09-30,17.9618,18.6744
2025-10-01,17.057,19.7568
2025-10-02,18.1175,19.7281
2025-10-03,19.0963,19.99
2025-10-04,17.9417,19.9266
2025-10-05,18.5002,20.9588
2025-10-06,17.008,20.7881
2025-10-07,17.6328,18.2683
2025-10-08,18.3722,20.6825
2025-10-09,18.869,20.6763
2025-10-10,17.9015,18.2857
2025-10-11,19.2866,19.3006
2025-10-12,18.9475,20.7377
2025-10-13,17.7711,19.0639
2025-10-14,17.9964,19.5164
2025-10-15,18.671,19.9201
2025-10-16,18.3608,20.8804
2025-10-17,19.3972,20.7105
2025-10-18,18.4222,18.9009
2025-10-19,17.0164,19.524
2025-10-20,19.4107,18.3223
2025-10-21,17.6949,20.2467
2025-10-22,17.0501,19.8594
2025-10-23,17.6621,20.2067
2025-10-24,18.8174,18.6309
2025-10-25,18.8783,19.9122
2025-10-26,17.0774,18.1285
2025-10-27,17.7791,18.3563
2025-10-28,18.6494,19.4839
2025-10-29,19.4976,19.2193
2025-10-30,17.0978,18.097
2025-10-31,18.8504,18.3276
2025-11-01,18.4687,19.6772
2025-11-02,17.8932,18.0947
2025-11-03,18.0265,19.82
2025-11-04,17.5548,19.8487
2025-11-05,17.0357,19.1435
2025-11-06,18.081,19.6111
2025-11-07,19.1372,18.8966
01/01/2026,18.6848,18.5935
2025-11-09,19.4979,20.0273
2025-11-10,17.8921,19.4405
2025-11-11,17.7422,19.6474
2025-11-12,18.2184,20.5631
2025-11-13,19.2417,20.1259
01/01/2026,17.4863,19.5259
2025-11-15,17.0006,20.7835
2025-11-16,17.0676,20.2692
2025-11-17,18.485,20.4331
2025-11-18,17.3524,18.4674
2025-11-19,17.4231,20.2608
2025-11-20,17.223,20.8097
2025-11-21,17.5957,19.7377
2025-11-22,18.9025,18.2155
2025-11-23,18.2249,19.3328
2025-11-24,17.8619,20.9656
2025-11-25,19.448,20.7217
2025-11-26,19.2282,19.2465
2025-11-27,18.7007,20.8793
2025-11-28,19.1781,18.7868
2025-11-29,18.9679,18.5086
2025-11-30,18.1746,20.2383
2025-12-01,18.0634,18.8279
2025-12-02,17.021,20.749
2025-12-03,18.0828,19.4372
2025-12-04,19.4565,20.8941
2025-12-05,17.764,18.06
2025-12-06,17.1497,20.6353
2025-12-07,17.4194,20.4254
2025-12-08,18.6788,19.0464
2025-12-09,18.292,20.6288
2025-12-10,18.6361,20.4727
2026-01-01,17.5022,20.4767
2025-12-12,19.4822,18.9413
2025-12-13,17.9142,19.214
 2025-12-14 ,17.1155,20.6712
2025-12-15,17.4433,18.5281
2025-12-16,18.3738,18.8545
17 Dec 2025,18.418,20.4949
2025-12-18,18.4562,18.4027
2025-12-19,19.0112,18.4538
01/01/2026,18.444,19.7017
2025-12-21,18.4712,18.4421
2025-12-22,17.2305,20.9809
2025-12-23,17.5325,19.2632
2025-12-24,19.007,20.9369
2025-12-25,19.4772,20.6514
2025-12-26,18.4014,19.0892
2025-12-27,17.1264,18.5809
2025-12-28,18.5644,20.1678
2025-12-29,19.4787,20.2603
2025-12-30,18.5254,18.8152
2025-12-31,17.6036,20.1456
2026-01-01,17.2258,18.1904
2026-01-02,18.0164,20.1722
2026-01-03,19.4895,20.04
2026-01-04,18.1352,18.9728
2026-01-05,18.5128,19.5039
2026-01-06,17.8192,19.5384
2026-01-07,19.2703,19.1704
2026-01-08,18.1964,20.7534
2026-01-09,18.8181,20.0768
2026-01-10,18.0113,18.9131
2026-01-11,18.2907,20.1782
2026-01-12,18.1111,19.074
2026-01-13,17.3706,19.2467
2026-01-14,17.1597,20.5498
2026-01-15,18.5724,20.7743
2026-01-16,18.7061,18.3545
2026-01-17,17.6883,19.7544
2026-01-18,17.1654,20.3677
1 Jan 2026,19.4964,18.154
2026-01-20,19.1137,18.7735
2026-01-21,19.1188,18.2418
2026-01-22,19.0542,20.9289
2026-01-23,18.2255,18.3554
2026-01-24,19.3794,19.1067
2026-01-25,17.6521,20.6728
2026-01-26,18.5069,19.0632
2026-01-27,18.214,20.7346
2026-01-28,18.6473,19.9374
2026-01-29,17.849,19.6795
2026-01-30,18.7363,19.7775
2026-01-31,17.2536,19.4169
2026-02-01,17.1729,20.9092
2026-02-02,17.4037,20.1045
2026-02-03,18.0537,20.5249
2026-02-04,19.4651,20.147
2026-02-05,17.52,20.6455
2026-02-06,18.5353,20.4434
2026-01-01,19.335,19.4339
2026-02-08,17.0902,20.0873
2026-02-09,18.0565,18.7863
2026-02-10,17.8884,19.7294
11-02-2026,17.6749,20.703
2026-02-12,17.1573,20.7693
2026-02-13,19.469,19.279
2026-02-14,19.2104,18.719
2026-02-15,19.4814,19.7084
2026-02-16,18.2147,20.6209
2026-02-17,19.2881,19.2088
2026-02-18,18.6955,19.9277
2026-02-19,17.6408,18.9231
2026-02-20,17.0044,19.448
2026-02-21,17.6908,18.8315
2026-02-22,17.9332,20.1997
2026-02-23,17.9486,18.2344
2026-02-24,19.2463,19.6547
2026-02-25,18.5465,19.231
1 Jan 2026,17.5617,19.9212
2026-02-27,18.8877,20.0915
2026-02-28,18.5223,19.3627
01/01/2026,18.3129,18.0897
2026-03-02,17.7087,19.5765
2026-03-03,19.4677,19.0094
2026-03-04,18.4463,19.5759
2026-03-05,19.1793,20.482
2026-03-06,17.3528,20.412
2026-03-07,18.2909,19.5586
2026-03-08,19.3093,20.4525
2026-03-09,18.2632,18.4352
2026-03-10,17.6935,20.048
2026-03-11,18.5696,18.8587
01/01/2026,18.6501,19.3074
2026-03-13,17.7749,20.5539
2026-03-14,19.3671,20.5397
2026-03-15,18.9023,20.6638
2026-03-16,18.6141,19.6823
2026-03-17,18.4907,19.8923
2026-03-18,18.2662,20.6918
2026-03-19,18.7182,19.6797
2026-03-20,17.8771,20.1388
2026-03-21,17.0721,20.0421
2026-03-22,18.8625,19.0133
2026-03-23,17.6909,20.7177
2026-03-24,17.4193,20.8531
2026-03-25,18.9929,18.2111
2026-03-26,17.1541,19.8878
2026-03-27,17.6797,19.426
2026-03-28,17.6056,20.0937
2026-03-29,17.0286,19.5763
2026-03-30,17.4923,18.7807
2026-03-31,18.9593,19.7206
2026-04-01,19.175,20.5237
2026-04-02,17.0438,19.1487
2026-04-03,19.2658,18.9725
2026-04-04,17.981,19.0748
2026-04-05,18.8829,19.8985
2026-04-06,17.052,19.3859
2026-04-07,17.5002,20.6392
2026-04-08,17.6301,20.0539
2026-04-09,19.2724,20.043
2026-04-10,19.2124,18.7452
2026-04-11,17.0202,19.8725
2026-04-12,18.5481,19.6564
2026-04-13,19.3069,19.7831
2026-04-14,18.4558,19.9014
2026-04-15,19.4114,18.0229
2026-04-16,18.3214,18.6643
2026-04-17,17.6808,20.2693
01/01/2026,18.2678,18.679
2026-04-19,18.3869,20.6882
2026-04-20,19.4429,18.3595
2026-04-21,18.9084,18.6329
2026-04-22,18.569,19.7632
2026-04-23,17.9631,19.5291
2026-04-24,18.9982,20.8167
2026-04-25,17.8012,20.2208
2026-04-26,18.9709,20.9337
2026-04-27,18.5848,20.9173
2026-04-28,18.3937,18.4339
2026-04-29,19.2569,19.8409
2026-04-30,17.5711,18.8888
2026-05-01,17.9957,20.1865
2026-05-02,17.6047,18.5685
2026-05-03,19.2513,18.2951
2026-05-04,17.9317,20.6925
2026-05-05,18.1524,19.5492
2026-05-06,17.6639,18.0477
2026-05-07,17.7322,19.34
2026-05-08,18.4026,20.7183
2026-05-09,17.4831,18.2823
2026-05-10,19.3246,18.1625
2026-05-11,17.2555,20.4104
2026-05-12,17.4429,20.4726
2026-05-13,18.6125,20.5044
2026-05-14,18.3513,19.683
15 May 2026,18.0193,20.8575
2026-05-16,18.8248,19.0708
2026-05-17,17.0981,20.0189
2026-05-18,19.3262,18.0516
2026-05-19,19.3897,19.9933
01/01/2026,19.0565,18.3857
2026-05-21,17.389,20.6286
2026-05-22,18.9487,19.4038
2026-05-23,17.1109,18.351
2026-05-24,17.6767,20.6097
2026-05-25,17.1436,20.379
2026-05-26,18.6405,19.1419
2026-05-27,18.6679,19.6182
2026-05-28,18.6433,18.9829
2026-05-29,17.6743,18.5312
30-05-2026,18.3168,20.6135
2026-05-31,17.9325,18.7272
1 Jan 2026,17.6284,20.1401
2026-06-02,17.7691,20.4973
2026-06-03,17.7197,18.6805
2026-06-04,17.7022,20.5388
2026-06-05,17.2295,20.8556
2026-06-06,17.4297,18.8001
2026-06-07,17.5494,18.0289
2026-06-08,17.3914,20.7019
2026-06-09,19.3875,19.8652
2026-06-10,17.3536,20.4507
2026-06-11,18.4721,20.6048
2026-06-12,17.2183,18.0193
2026-06-13,19.2804,18.9546
2026-06-14,19.1255,19.4329
2026-06-15,17.5233,20.8738
2026-06-16,17.0968,19.284
2026-06-17,17.6812,18.7728
2026-06-18,18.5571,19.1465
2026-06-19,18.6348,19.2911
2026-06-20,18.9064,19.4387
2026-06-21,19.081,18.8794
2026-06-22,18.6599,20.1941
2026-06-23,18.6448,19.0819
2026-06-24,18.4245,19.6883
2026-06-25,18.7571,18.7136
2026-06-26,18.8707,19.5989
2026-06-27,19.3121,20.7639
2026-06-28,18.0717,19.88
2026-06-29,19.0756,19.2851
2026/01/01,17.2972,20.3132
2026-07-01,19.331,20.6628
2026-07-02,18.7335,18.1549
2026-07-03,19.0627,19.4941
2026-07-04,18.515,20.1239
2026-07-05,17.3428,19.7352
2026-07-06,19.2911,19.8043
01/01/2026,18.7696,18.4406
2026-07-08,17.3822,20.8303
2026-07-09,18.6681,18.4562
2026-07-10,18.3164,20.3768
2026-01-01,17.7496,19.7398
2026-07-12,17.7237,19.3107
2026-07-13,18.8688,18.3405
2026-07-14,18.649,20.6964
2026-07-15,18.5487,20.281
2026-07-16,17.5919,18.2521
2026-07-17,18.8325,20.6958
2026-07-18,18.8497,18.5063
2026-07-19,18.7469,20.0796
2026-07-20,17.7381,20.3899
2026-07-21,17.9776,18.5252
2026-07-22,19.4628,20.7405
2026-07-23,17.0133,20.5439
2026-07-24,18.3551,18.1907
2026-07-25,17.449,19.8774
2026-07-26,18.8066,18.4193
2026-07-27,18.8533,18.5548
2026-07-28,17.5889,18.7176
2026-07-29,18.1792,20.3421
2026-07-30,17.8557,18.8886
2026-01-01,18.953,19.3441
2026-08-01,18.4326,19.2865
