merchant_id,merchant_name,merchant_category,province,city,risk_rating
179,Merchant 00179,Online Services,Eastern Cape,Mthatha,Low
180,Merchant 00180,Online Services,Kwazulu-Natal,Richards Bay,Low
181,Merchant 00181,Electronics,Mpumalanga,Emalahleni,Low
182,Merchant 00182,Grocery,North West,Klerksdorp,Low
183,Merchant 00183,Online Services,Eastern Cape,East London,Low
184,Merchant 00184,Grocery,Limpopo,Polokwane,Medium
185,Merchant 00185,Electronics,Free State,Welkom,Medium
186,Merchant 00186,Other,Limpopo,Tzaneen,Low
187,Merchant 00187,Clothing,Limpopo,Polokwane,High
188,Merchant 00188,Entertainment,Northern Cape,Kuruman,Low
189,Merchant 00189,Clothing,Western Cape,George,Medium
190,Merchant 00190,Restaurant,Kwazulu-Natal,Durban,Medium
191,Merchant 00191,Grocery,Limpopo,Polokwane,Low
192,Merchant 00192,Clothing,Northern Cape,Kimberley,Medium
193,Merchant 00193,Other,Eastern Cape,East London,High
194,Merchant 00194,Restaurant,Eastern Cape,Mthatha,Low
195,Merchant 00195,Fuel,Eastern Cape,Mthatha,Low
196,Merchant 00196,Restaurant,Limpopo,Thohoyandou,Low
197,Merchant 00197,Healthcare,Mpumalanga,Emalahleni,Low
198,Merchant 00198,Grocery,Limpopo,Thohoyandou,Low
199,Merchant 00199,Entertainment,Eastern Cape,Gqeberha,Medium
200,Merchant 00200,Healthcare,Northern Cape,Kimberley,Low
201,Merchant 00201,Grocery,Eastern Cape,Gqeberha,Low
202,Merchant 00202,Clothing,North West,Klerksdorp,Low
203,Merchant 00203,Entertainment,Free State,Welkom,Low
204,Merchant 00204,Travel,Mpumalanga,Emalahleni,Medium
205,Merchant 00205,Entertainment,North West,Mahikeng,Low
206,Merchant 00206,Grocery,Limpopo,Tzaneen,Low
207,Merchant 00207,Healthcare,Mpumalanga,Emalahleni,Low
208, Merchant 00208 ,Travel,Mpumalanga,Mbombela,Low
209,Merchant 00209,Travel,Limpopo,Tzaneen,Medium
210,Merchant 00210,Fuel,Mpumalanga,Secunda,Low
211,Merchant 00211,Grocery,Kwazulu-Natal,Richards Bay,Medium
212,Merchant 00212,Fuel,Limpopo,Polokwane,High
213,Merchant 00213,Healthcare,Eastern Cape,Gqeberha,Low
214,Merchant 00214,Entertainment,Gauteng,Johannesburg,Low
215,Merchant 00215,Electronics,Northern Cape,Kuruman,Low
216,Merchant 00216,Electronics,North West,Klerksdorp,Medium
217,Merchant 00217,Online Services,Mpumalanga,Nan,High
218,Merchant 00218,Other,Northern Cape,Kuruman,High
219,Merchant 00219,Travel,North West,Rustenburg,Low
220,Merchant 00220,Entertainment,Northern Cape,Kuruman,Low
221,Merchant 00221,Electronics,Western Cape,Cape Town,High
222,Merchant 00222,Restaurant,Northern Cape,Upington,High
223,Merchant  00223,Grocery,Mpumalanga,Secunda,Low
224,Merchant 00224,Other,Free State,Bloemfontein,High
225,Merchant 00225,Clothing,Western Cape,Cape Town,Low
226,Merchant 00226,Clothing,Western Cape,Paarl,High
227,Merchant 00227,Healthcare,Northern Cape,Kimberley,Low
228,Merchant 00228,Travel,Limpopo,Thohoyandou,Low
229,Merchant 00229,Entertainment,Mpumalanga,Mbombela,High Risk
230,Merchant 00230,Clothing,Mpumalanga,Mbombela,Low
231,Merchant 00231,Grocery,Free State,Bloemfontein,Low
232,Merchant 00232,Healthcare,Gauteng,Midrand,Low
233,Merchant 00233,Entertainment,Mpumalanga,Secunda,Low
234,Merchant 00234,Online Services,Northern Cape,Kimberley,Medium
235,Merchant 00235,Healthcare,Free State,Bethlehem,Low
236,Merchant 00236,Travel,Limpopo,Polokwane,Low
237,Merchant 00237,Clothing,North West,Rustenburg,Low
238,Merchant 00238,Grocery,Mpumalanga,Emalahleni,Low
239,Merchant 00239,Entertainment,Northern Cape,Kuruman,Low
240,Merchant 00240,Clothing,Mpumalanga,Secunda,Low
241,Merchant 00241,Healthcare,Eastern Cape,Mthatha,Low
242,Merchant 00242,Online Services,Western Cape,George,Low
243,Merchant 00243,Online Services,North West,Mahikeng,Low
244,Merchant 00244,Travel,Eastern Cape,East London,Medium
245,Merchant 00245,Clothing,North West,Mahikeng,Low
246,Merchant 00246,Healthcare,Mpumalanga,Emalahleni,Low
247,Merchant 00247,Restaurant,Mpumalanga,Secunda,Low
248,Merchant 00248,Other,Limpopo,Thohoyandou,High
249,Merchant 00249,Fuel,North West,Mahikeng,Low
250,Merchant 00250,Travel,Mpumalanga,Emalahleni,Low
251,Merchant 00251,Fuel,Northern Cape,Kimberley,Medium
252,Merchant 00252,Grocery,Kwazulu-Natal,Pietermaritzburg,Low
253,Merchant 00253,Online Services,Free State,Welkom,Low
254,Merchant 00254,Restaurant,Limpopo,Tzaneen,Low
255,Merchant 00255,Clothing,Eastern Cape,Gqeberha,High
256,Merchant 00256,Fuel,Northern Cape,Kimberley,Medium
257,merchant 00257,Electronics,Northern Cape,Kuruman,Medium
258,Merchant 00258,Entertainment,Limpopo,Tzaneen,Low
259,Merchant 00259,Other,North West,Rustenburg,Medium
260,Merchant 00260,Healthcare,Free State,Bethlehem,Low
261,Merchant 00261,Travel,Northern Cape,Upington,Medium
262,Merchant 00262,Online Services,Free State,Bethlehem,Low
263,Merchant 00263,Other,Northern Cape,Upington,Low
264,Merchant 00264,Restaurant,Kwazulu-Natal,Pietermaritzburg,Low
265,Merchant 00265,Travel,Northern Cape,Kimberley,Low
266,Merchant 00266,Online Services,North West,Rustenburg,Low
267,Merchant 00267,Healthcare,Northern Cape,Upington,Low
268,Merchant 00268,Entertainment,North West,Rustenburg,Low
269,Merchant 00269,Travel,North West,Rustenburg,Low
270,Merchant 00270,Healthcare,Limpopo,Thohoyandou,Medium
271,Merchant 00271,Online Services,Free State,Bloemfontein,High
272,Merchant 00272,Online Services,Gauteng,Pretoria,Low
273,Merchant 00273,Restaurant,Kwazulu-Natal,Pietermaritzburg,Medium
274,Merchant 00274,Entertainment,Mpumalanga,Mbombela,Medium
275,Merchant 00275,Entertainment,Free State,Bloemfontein,Low
276,Merchant 00276,Restaurant,North West,Mahikeng,High
277,Merchant 00277,Healthcare,Mpumalanga,Emalahleni,High
278,Merchant 00278,Grocery,Gauteng,Johannesburg,Low
279,Merchant 00279,Restaurant,Northern Cape,Kimberley,Low
280,Merchant  00280,Healthcare,Gauteng,Soweto,Medium
281,Merchant 00281,Entertainment,North West,Mahikeng,Medium
282,Merchant 00282,Healthcare,Northern Cape,Upington,Low
283,Merchant 00283,Restaurant,Kwazulu-Natal,Richards Bay,Low
284,Merchant 00284,Electronics,Limpopo,Tzaneen,Low
285,Merchant 00285,Other,Eastern Cape,Gqeberha,Low
286,Merchant 00286,Restaurant,Eastern Cape,Mthatha,Low
287,Merchant 00287,Clothing,Western Cape,Paarl,Medium
288,Merchant 00288,Online Services,Eastern Cape,Gqeberha,Low
289,Merchant 00289,Other,Western Cape,Stellenbosch,Low
290,Merchant 00290,Clothing,Mpumalanga,Emalahleni,Low
291,Merchant 00291,Other,Northern Cape,Kimberley,Medium
292,Merchant 00292,Healthcare,Free State,Bloemfontein,Low
293,Merchant 00293,Travel,Kwazulu-Natal,Pietermaritzburg,Low
294,Merchant 00294,Entertainment,Eastern Cape,East London,Medium
295,Merchant 00295,Travel,Gauteng,Midrand,Low
296,Merchant 00296,Fuel,Western Cape,George,High
297,Merchant 00297,Grocery,Limpopo,Tzaneen,Medium
298,Merchant 00298,Fuel,Free State,Welkom,Low
299,Merchant 00299,Travel,Gauteng,Soweto,Low
300,Merchant 00300,Clothing,Eastern Cape,Mthatha,Low
301,Merchant 00301,Fuel,Free State,Welkom,Medium
302,Merchant 00302,Fuel,Free State,Bethlehem,High
303,Merchant 00303,Clothing,Mpumalanga,Mbombela,Low
304,Merchant 00304,Fuel,Western Cape,Paarl,Medium
305,Merchant 00305,Online Services,Free State,Welkom,Medium
306,Merchant 00306,Travel,Limpopo,Polokwane,Medium
307,Merchant 00307,Grocery,Eastern Cape,East London,Low
308,Merchant 00308,Clothing,Eastern Cape,Gqeberha,Low
309,Merchant 00309,Entertainment,Limpopo,Thohoyandou,Low
310,Merchant 00310,Fuel,North West,Mahikeng,Low
311,Merchant 00311,Clothing,Northern Cape,Kuruman,Low
312,Merchant 00312,Electronics,Limpopo,Tzaneen,Low
313,Merchant 00313,Grocery,Free State,Welkom,Low
314,Merchant 00314,Online Services,North West,Rustenburg,Low
315,Merchant 00315,Other,Eastern Cape,East London,High
316,Merchant 00316,Restaurant,Western Cape,Stellenbosch,Low
317,Merchant 00317,Other,Limpopo,Thohoyandou,Low
318,Merchant 00318,Fuel,North West,Rustenburg,Low
319,Merchant 00319,Clothing,Free State,Bloemfontein,Low
320,Merchant 00320,Entertainment,Free State,Welkom,Low
321,Merchant 00321,Online Services,Mpumalanga,Secunda,Low
322,Merchant 00322,Healthcare,Limpopo,Thohoyandou,Medium
323,Merchant 00323,Entertainment,Limpopo,Tzaneen,Low
324,Merchant 00324,Healthcare,Limpopo,Thohoyandou,Low
325,Merchant 00325,Healthcare,North West,Mahikeng,Low
326,Merchant 00326,Other,Western Cape,Stellenbosch,High
327,Merchant 00327,Electronics,Northern Cape,Kimberley,Medium
328,Merchant 00328,Fuel,Kwazulu-Natal,Pietermaritzburg,Medium
329,Merchant 00329,Fuel,Free State,Bloemfontein,Low
330, Merchant 00330 ,Travel,North West,Klerksdorp,High
331,Merchant 00331,Entertainment,Eastern Cape,Mthatha,High
332,Merchant 00332,Entertainment,Northern Cape,Kuruman,Low
333,Merchant 00333,Travel,Kwazulu-Natal,Pietermaritzburg,High
334,merchant 00334,Electronics,Gauteng,Soweto,Low
335,Merchant 00335,Fuel,Mpumalanga,Mbombela,Low
336,Merchant 00336,Online Services,Eastern Cape,Mthatha,High
337,Merchant 00337,Grocery,Mpumalanga,Mbombela,Low
338,Merchant 00338,Healthcare,Western Cape,Paarl,Medium
339,Merchant 00339,Clothing,Free State,Bethlehem,Low
340,Merchant 00340,Travel,North West,Klerksdorp,Low
341,Merchant 00341,Travel,Western Cape,Paarl,Low
342,Merchant 00342,Restaurant,Western Cape,George,Low
343,Merchant 00343,Online Services,Limpopo,Tzaneen,Low
344,Merchant  00344,Entertainment,Eastern Cape,Mthatha,Low
345,Merchant 00345,Online Services,North West,Klerksdorp,Critical
346,Merchant 00346,Restaurant,Mpumalanga,Mbombela,High
347,Merchant 00347,Healthcare,Eastern Cape,Mthatha,Medium
348,Merchant 00348,Fuel,Western Cape,Paarl,Medium
349,Merchant 00349,Other,Limpopo,Tzaneen,Low
350,Merchant 00350,Online Services,Free State,Welkom,Low
351,merchant 00351,Clothing,Mpumalanga,Mbombela,Low
352,Merchant 00352,Other,Northern Cape,Kuruman,Medium
353,Merchant 00353,Grocery,North West,Klerksdorp,Medium
354,Merchant 00354,Electronics,Kwazulu-Natal,Richards Bay,Low
355,merchant 00355,Entertainment,Free State,Welkom,Low
356,Merchant 00356,Clothing,Eastern Cape,Gqeberha,Low
357,Merchant 00357,Entertainment,Mpumalanga,Secunda,Medium
358,Merchant 00358,Travel,Limpopo,Polokwane,Medium
359, Merchant 00359 ,Restaurant,Limpopo,Tzaneen,Low
360,Merchant 00360,Restaurant,Gauteng,Midrand,Medium
361,MERCHANT 00361,Online Services,Kwazulu-Natal,Pietermaritzburg,High
362,Merchant 00362,Online Services,Eastern Cape,Mthatha,Low
363,Merchant 00363,Grocery,Northern Cape,Kuruman,High
364,Merchant 00364,Healthcare,Mpumalanga,Secunda,Medium
365,Merchant 00365,Fuel,Mpumalanga,Secunda,Low
366,Merchant 00366,Healthcare,Northern Cape,Kuruman,Low
367,Merchant 00367,Electronics,Eastern Cape,Gqeberha,Low
368,Merchant 00368,Travel,Gauteng,Midrand,Low
369,Merchant 00369,Healthcare,Gauteng,Johannesburg,Medium
370,Merchant 00370,Travel,North West,Klerksdorp,Low
371,Merchant 00371,Healthcare,Eastern Cape,Mthatha,Low
372,Merchant 00372,Grocery,Limpopo,Thohoyandou,Low
373,Merchant 00373,Restaurant,Mpumalanga,Emalahleni,High
374,Merchant 00374,Fuel,Limpopo,Tzaneen,Low
375,Merchant 00375,Online Services,Northern Cape,Kuruman,High
376,Merchant 00376,Fuel,Kwazulu-Natal,Durban,Low
377,Merchant 00377,Healthcare,Kwazulu-Natal,Richards Bay,Low
378,Merchant 00378,Other,Limpopo,Thohoyandou,Medium
379, Merchant 00379 ,Entertainment,Eastern Cape,Mthatha,Medium
380,Merchant 00380,Clothing,Limpopo,Tzaneen,Low
381,Merchant 00381,Fuel,Limpopo,Tzaneen,Low
382,Merchant 00382,Restaurant,Western Cape,Paarl,Low
383,Merchant 00383,Restaurant,Limpopo,Tzaneen,Low
384,Merchant 00384,Restaurant,Kwazulu-Natal,Richards Bay,Low
385,Merchant 00385,Healthcare,Western Cape,Cape Town,High
386,Merchant 00386,Clothing,Free State,Welkom,Low
387,Merchant 00387,Electronics,Northern Cape,Kuruman,High
388,Merchant 00388,Grocery,North West,Mahikeng,Medium
389,Merchant 00389,Other,Limpopo,Polokwane,Low
390,Merchant 00390,Clothing,Eastern Cape,East London,Medium
391,Merchant 00391,Other,Western Cape,Paarl,Low
392,Merchant 00392,Clothing,Free State,Bloemfontein,Medium
393,Merchant 00393,Restaurant,North West,Mahikeng,High
394,Merchant 00394,Entertainment,Eastern Cape,Mthatha,Low
395,Merchant 00395,Online Services,Kwazulu-Natal,Pietermaritzburg,Low
396,Merchant 00396,Nan,Mpumalanga,Emalahleni,Low
397,Merchant 00397,Travel,Eastern Cape,Gqeberha,Medium
398,Merchant 00398,Online Services,Eastern Cape,Gqeberha,High
399,Merchant 00399,Grocery,Free State,Bloemfontein,Medium
400,Merchant 00400,Fuel,North West,Mahikeng,Low
401,Merchant 00401,Other,Eastern Cape,Mthatha,High
402,Merchant 00402,Fuel,Eastern Cape,East London,Low
403,Merchant 00403,Travel,North West,Mahikeng,Low
404,Merchant 00404,Restaurant,Limpopo,Thohoyandou,Low
405,Merchant 00405,Other,Eastern Cape,Gqeberha,Low
406,Merchant 00406,Travel,Northern Cape,Kimberley,Low
407,Merchant 00407,Restaurant,Limpopo,Polokwane,Low
408,Merchant 00408,Travel,Mpumalanga,Emalahleni,Medium
409,Merchant 00409,Entertainment,Western Cape,Stellenbosch,Low
410,Merchant 00410,Electronics,Kwazulu-Natal,Pietermaritzburg,Low
411,Merchant 00411,Other,Limpopo,Thohoyandou,Low
412,Merchant 00412,Grocery,North West,Mahikeng,Low
413,Merchant 00413,Electronics,Kwazulu-Natal,Pietermaritzburg,Low
414,Merchant 00414,Healthcare,Limpopo,Thohoyandou,Low
415,Merchant 00415,Other,Eastern Cape,East London,Low
416,Merchant 00416,Fuel,Limpopo,Polokwane,Low
417,Merchant 00417,Restaurant,Western Cape,Paarl,Medium
418,Merchant 00418,Entertainment,Kwazulu-Natal,Durban,Low
419,Merchant 00419,Fuel,Eastern Cape,East London,Low
420,Merchant 00420,Other,Gauteng,Midrand,Low
421,Merchant 00421,Restaurant,Free State,Bethlehem,Medium
422,Merchant 00422,Other,Gauteng,Soweto,Low
423,Merchant 00423,Clothing,Mpumalanga,Nan,High
424,Merchant 00424,Other,North West,Rustenburg,Low
425,Merchant 00425,Healthcare,Gauteng,Johannesburg,Low
426,Merchant 00426,Healthcare,Western Cape,Paarl,Low
427,Merchant 00427,Restaurant,Western Cape,George,Low
428,Merchant 00428,Other,Mpumalanga,Emalahleni,Medium
429,Merchant 00429,Electronics,North West,Klerksdorp,Low
430,Merchant 00430,Other,Northern Cape,Kimberley,Medium
431,Merchant 00431,Online Services,Eastern Cape,East London,Low
432,Merchant 00432,Electronics,Northern Cape,Upington,Low
433,Merchant 00433,Fuel,Kwazulu-Natal,Pietermaritzburg,Medium
434,Merchant 00434,Travel,North West,Mahikeng,Low
435, Merchant 00435 ,Restaurant,Limpopo,Polokwane,Low
436,Merchant 00436,Grocery,Free State,Bloemfontein,Low
437,Merchant 00437,Online Services,Mpumalanga,Mbombela,Medium
438,Merchant 00438,Electronics,Eastern Cape,East London,Low
439,Merchant 00439,Grocery,Eastern Cape,East London,Low
440,Merchant 00440,Clothing,Limpopo,Tzaneen,Medium
441,Merchant 00441,Other,Northern Cape,Kuruman,Low
442,Merchant 00442,Fuel,Gauteng,Soweto,Medium
443,Merchant 00443,Healthcare,Western Cape,George,Medium
444,Merchant 00444,Healthcare,Limpopo,Thohoyandou,Low
445,Merchant 00445,Fuel,North West,Rustenburg,High
446,Merchant 00446,Clothing,North West,Rustenburg,Low
447,Merchant 00447,Restaurant,Free State,Welkom,Low
448,Merchant 00448,Electronics,Gauteng,Pretoria,Low
449,Merchant 00449,Grocery,Limpopo,Tzaneen,Low
450,Merchant 00450,Entertainment,Limpopo,Thohoyandou,Medium
451,Merchant 00451,Restaurant,Mpumalanga,Secunda,Medium
452,Merchant 00452,Restaurant,Kwazulu-Natal,Pietermaritzburg,Medium
